id,name,color,sequence,sequence_id/id,sequence_code,default_location_src_id/id,default_location_dest_id/id,code,warehouse_id/id,active,use_create_lots,use_existing_lots,print_label,show_operations,show_reserved,reservation_method,reservation_days_before,reservation_days_before_priority,product_label_format,lot_label_format,package_label_to_print,barcode,company_id/id,create_backorder,auto_print_done_production_order,auto_print_done_mrp_product_labels,mrp_product_label_to_print,auto_print_done_mrp_lot,done_mrp_lot_label_to_print,generated_mrp_lot_label_to_print,barcode_validation_full,restrict_put_in_pack,restrict_scan_tracking_number,restrict_scan_source_location,restrict_scan_dest_location,prefill_lot_tablet,default_remove_location_dest_id/id,default_recycle_location_dest_id/id,x_studio_mj_out,x_studio_mj_in,x_studio_movement_journal
stock_picking_type_returns,Returns,0,0,,IN,,Jinasena_MasterData_Stock.stock_location_stock,incoming,Jinasena_MasterData_Stock.stock_warehouse_br_am_warehouse_for_ampara_sales_center,1,,,,,,at_confirm,0,0,2x7xprice,4x12_lots,pdf,,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_movement_journals_out,Movement Journals - OUT,0,0,Jinasena_MasterData_Common.ir_sequence_raw_material_main_warehouse_rp_ek_sequen_349,MJ/OUT,Jinasena_MasterData_Stock.stock_location_stock_140,Jinasena_MasterData_Stock.stock_location_mj,outgoing,Jinasena_MasterData_Stock.stock_warehouse_raw_material_main_warehouse_rp_ek,1,,1,1,1,1,at_confirm,0,0,2x7xprice,4x12_lots,pdf,,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,1,,1
stock_picking_type_consignment_wh_cg,Consignment - WH -> CG,0,0,Jinasena_MasterData_Common.ir_sequence_rc_tm_warehouse_for_colombo_sales_center_412,INT,Jinasena_MasterData_Stock.stock_location_stock_167,Jinasena_MasterData_Stock.stock_location_rc_tm_consignment_location,internal,Jinasena_MasterData_Stock.stock_warehouse_rc_tm_warehouse_for_colombo_sales_center,1,,1,,1,1,manual,0,0,2x7xprice,4x12_lots,pdf,,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_receipts,Receipts,3,23,,IN,,Jinasena_MasterData_Stock.stock_location_stock_76,incoming,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,1,1,,,,,at_confirm,0,0,2x7xprice,4x12_lots,pdf,CW-CM-RECEIPTS,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_internal_transfers,Internal Transfers,3,24,,INT,Jinasena_MasterData_Stock.stock_location_stock_76,Jinasena_MasterData_Stock.stock_location_stock_76,internal,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,1,,1,,1,1,at_confirm,0,0,2x7xprice,4x12_lots,pdf,CW-CM-INTERNAL,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_delivery_orders,Delivery Orders,3,27,,OUT,Jinasena_MasterData_Stock.stock_location_stock_76,,outgoing,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,1,,1,1,1,1,at_confirm,0,0,2x7xprice,4x12_lots,pdf,CW-CM-DELIVERY,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_pos_orders,PoS Orders,3,27,,POS,Jinasena_MasterData_Stock.stock_location_stock_76,stock.stock_location_customers,outgoing,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,1,1,1,1,1,1,at_confirm,0,0,2x7xprice,4x12_lots,pdf,,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_manufacturing,Manufacturing,3,30,Jinasena_MasterData_Common.ir_sequence_casting_warehouse_cw_cm_sequence_product_935,MO,Jinasena_MasterData_Stock.stock_location_stock_76,Jinasena_MasterData_Stock.stock_location_stock_76,mrp_operation,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,1,1,1,,1,1,at_confirm,0,0,2x7xprice,4x12_lots,pdf,CW-CM-MANU.,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_receipts_82,Receipts,4,31,,IN,,Jinasena_MasterData_Stock.stock_location_stock_84,incoming,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,1,1,,,,,at_confirm,0,0,2x7xprice,4x12_lots,pdf,MW-CM-RECEIPTS,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_internal_transfers_86,Internal Transfers,4,32,,INT,Jinasena_MasterData_Stock.stock_location_stock_84,Jinasena_MasterData_Stock.stock_location_stock_84,internal,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,1,,1,,1,1,at_confirm,0,0,2x7xprice,4x12_lots,pdf,MW-CM-INTERNAL,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_delivery_orders_83,Delivery Orders,4,35,,OUT,Jinasena_MasterData_Stock.stock_location_stock_84,,outgoing,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,1,,1,1,1,1,at_confirm,0,0,2x7xprice,4x12_lots,pdf,MW-CM-DELIVERY,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_pos_orders_90,PoS Orders,4,35,,POS,Jinasena_MasterData_Stock.stock_location_stock_84,stock.stock_location_customers,outgoing,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,1,1,1,1,1,1,at_confirm,0,0,2x7xprice,4x12_lots,pdf,,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_manufacturing_89,Manufacturing,4,38,,MO,Jinasena_MasterData_Stock.stock_location_stock_84,Jinasena_MasterData_Stock.stock_location_stock_84,mrp_operation,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,1,1,1,,1,1,at_confirm,0,0,2x7xprice,4x12_lots,pdf,MW-CM-MANU.,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_receipts_91,Receipts,5,39,,IN,,Jinasena_MasterData_Stock.stock_location_stock_92,incoming,Jinasena_MasterData_Stock.stock_warehouse_oils_lubricants_warehouse_ow_ek,1,1,,,1,,at_confirm,0,0,2x7xprice,4x12_lots,pdf,OW-EK-RECEIPTS,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
stock_picking_type_internal_transfers_95,Internal Transfers,5,40,,INT,Jinasena_MasterData_Stock.stock_location_stock_92,Jinasena_MasterData_Stock.stock_location_stock_92,internal,Jinasena_MasterData_Stock.stock_warehouse_oils_lubricants_warehouse_ow_ek,1,,1,,1,1,at_confirm,0,0,2x7xprice,4x12_lots,pdf,OW-EK-INTERNAL,base.main_company,ask,,,pdf,,pdf,pdf,1,optional,optional,no,optional,1,,,,,
